Codigo,Municipio,Distancia,Servico,Atendimento,Percentual
310163,Alfredo_Vasconcelos,168,S7,27,100
310163,Alfredo_Vasconcelos,168,S8,5,100
310163,Alfredo_Vasconcelos,168,S10,61,100
310180,Alpercata,342,S4,23,100
310180,Alpercata,342,S5,17,100
310180,Alpercata,342,S6,23,100
310180,Alpercata,342,S7,13,100
310180,Alpercata,342,S8,2,100
310180,Alpercata,342,S10,13,100
310190,Alpinopolis,359,S4,6,100
310190,Alpinopolis,359,S5,24,100
310190,Alpinopolis,359,S6,18,100
310190,Alpinopolis,359,S7,6,100
310190,Alpinopolis,359,S8,3,100
310190,Alpinopolis,359,S10,15,100
310200,Alterosa,380,S5,19,100
310200,Alterosa,380,S6,10,100
310200,Alterosa,380,S7,4,100
310200,Alterosa,380,S8,2,100
310205,Alto_Caparao,338,S4,13,100
310205,Alto_Caparao,338,S5,22,100
310205,Alto_Caparao,338,S6,8,100
310205,Alto_Caparao,338,S7,9,100
310205,Alto_Caparao,338,S8,2,100
310210,Alto_Rio_Doce,210,S4,16,100
310210,Alto_Rio_Doce,210,S5,67,100
310210,Alto_Rio_Doce,210,S6,25,100
310210,Alto_Rio_Doce,210,S7,18,100
310210,Alto_Rio_Doce,210,S8,4,100
310210,Alto_Rio_Doce,210,S10,33,100
310220,Alvarenga,360,S4,9,100
310220,Alvarenga,360,S5,11,100
310220,Alvarenga,360,S6,12,100
310220,Alvarenga,360,S7,3,100
310220,Alvarenga,360,S8,1,100
310230,Alvinopolis,177,S4,25,100
310230,Alvinopolis,177,S5,69,100
310230,Alvinopolis,177,S6,51,100
310230,Alvinopolis,177,S7,38,100
310230,Alvinopolis,177,S8,6,100
310230,Alvinopolis,177,S10,63,100
310240,Alvorada_De_Minas,222,S5,37,100
310240,Alvorada_De_Minas,222,S8,2,100
310240,Alvorada_De_Minas,222,S10,19,100
310250,Amparo_Do_Serra,238,S4,10,100
310250,Amparo_Do_Serra,238,S6,13,100
310250,Amparo_Do_Serra,238,S7,12,100
310250,Amparo_Do_Serra,238,S8,2,100
310250,Amparo_Do_Serra,238,S10,19,100
