Codigo,Unidade,Distancia,Servico,Atendimento,latitude,longitude
2190605,Regiao 15,7,S8,8,-19.88730,-44.04377
2190109,Regiao 16,6,S8,1,-19.88388,-44.05061
7116306,Regiao 17,12,S8,4,-19.85505,-44.01586
2190923,Regiao 18,11,S8,8,-19.86472,-44.04195
2190893,Regiao 19,14,S8,15,-19.84347,-44.03189
2190222,Regiao 20,12,S8,6,-19.85457,-44.02804
2189968,Regiao 21,3,S8,8,-19.91828,-44.09081
4696077,Regiao 22,3,S8,12,-19.91302,-44.08864
7110316,Regiao 23,4,S8,14,-19.90848,-44.09112
2189984,Regiao 24,3,S8,16,-19.92635,-44.08060
2190176,Regiao 25,6,S8,0,-19.89446,-44.06772
2190389,Regiao 26,5,S8,0,-19.92797,-44.10414
2190451,Regiao 27,6,S8,4,-19.92890,-44.10979
2190206,Regiao 28,7,S8,3,-19.92824,-44.11701
2190524,Regiao 29,8,S8,6,-19.93008,-44.12490
2190435,Regiao 30,8,S8,5,-19.91695,-44.12164
2190877,Regiao 31,7,S8,4,-19.92367,-44.12114
181854,Regiao 32,8,S8,2,-19.91591,-44.11787
2190834,Regiao 33,12,S8,17,-19.86003,-44.13395
2190710,Regiao 34,16,S8,11,-19.82687,-44.14813
2190826,Regiao 35,13,S8,7,-19.87581,-44.14067
2190656,Regiao 36,15,S8,1,-19.83402,-44.09048
2190540,Regiao 37,24,S8,0,-19.80543,-44.13212
2189992,Regiao 38,7,S8,8,-19.95852,-44.02485
2191202,Regiao 39,8,S8,2,-19.96171,-44.02844
2190060,Regiao 40,9,S8,0,-19.95052,-44.01402
2190788,Regiao 41,6,S8,3,-19.94511,-44.02653
2190214,Regiao 42,8,S8,17,-19.96957,-44.02728
2190680,Regiao 43,8,S8,9,-19.96843,-44.04242
4275454,Regiao 44,7,S8,8,-19.95846,-44.04709
7301189,Regiao 45,8,S8,3,-19.96103,-44.03387
2190044,Regiao 46,4,S8,11,-19.95335,-44.06228
2189909,Regiao 47,6,S8,5,-19.95725,-44.05509
2189844,Regiao 48,6,S8,7,-19.95760,-44.05139
2190141,Regiao 49,9,S8,4,-19.97610,-44.06420
2220245,Regiao 50,4,S8,10,-19.94539,-44.05793
2190052,Regiao 51,6,S8,8,-19.94487,-44.03069
2190001,Regiao 52,5,S8,5,-19.92800,-44.03948
2191199,Regiao 1,3,S9,52,-19.94370,-44.06693
6557864,Regiao 2,3,S9,174,-19.92942,-44.05811
2190095,Regiao 3,4,S9,126,-19.92886,-44.04764
2190087,Regiao 4,4,S9,152,-19.93684,-44.04962
2191040,Regiao 5,3,S9,8,-19.93673,-44.07910
2190990,Regiao 6,3,S9,117,-19.92591,-44.06100
2191229,Regiao 7,5,S9,67,-19.91923,-44.04299
2191059,Regiao 8,4,S9,172,-19.92546,-44.06202
2190591,Regiao 9,8,S9,178,-19.90689,-44.03838
2190184,Regiao 10,8,S9,365,-19.90475,-44.02718
2190567,Regiao 11,7,S9,7,-19.89987,-44.03285
2190494,Regiao 12,10,S9,120,-19.88058,-44.01915
2190532,Regiao 13,9,S9,144,-19.88598,-44.01992
2190931,Regiao 14,9,S9,269,-19.87224,-44.02072
2190605,Regiao 15,7,S9,159,-19.88730,-44.04377
2190109,Regiao 16,6,S9,24,-19.88388,-44.05061
7116306,Regiao 17,12,S9,75,-19.85505,-44.01586
2190923,Regiao 18,11,S9,162,-19.86472,-44.04195
2190893,Regiao 19,14,S9,296,-19.84347,-44.03189
2190222,Regiao 20,12,S9,116,-19.85457,-44.02804
2189968,Regiao 21,3,S9,149,-19.91828,-44.09081
4696077,Regiao 22,3,S9,227,-19.91302,-44.08864
7110316,Regiao 23,4,S9,267,-19.90848,-44.09112
2189984,Regiao 24,3,S9,316,-19.92635,-44.08060
2190176,Regiao 25,6,S9,1,-19.89446,-44.06772
2190389,Regiao 26,5,S9,5,-19.92797,-44.10414
2190451,Regiao 27,6,S9,80,-19.92890,-44.10979
2190206,Regiao 28,7,S9,62,-19.92824,-44.11701
2190524,Regiao 29,8,S9,113,-19.93008,-44.12490
2190435,Regiao 30,8,S9,100,-19.91695,-44.12164
2190877,Regiao 31,7,S9,84,-19.92367,-44.12114
181854,Regiao 32,8,S9,44,-19.91591,-44.11787
2190834,Regiao 33,12,S9,331,-19.86003,-44.13395
2190710,Regiao 34,16,S9,206,-19.82687,-44.14813
2190826,Regiao 35,13,S9,128,-19.87581,-44.14067
2190656,Regiao 36,15,S9,29,-19.83402,-44.09048
2190540,Regiao 37,24,S9,5,-19.80543,-44.13212
2189992,Regiao 38,7,S9,156,-19.95852,-44.02485
2191202,Regiao 39,8,S9,38,-19.96171,-44.02844
2190060,Regiao 40,9,S9,2,-19.95052,-44.01402
2190788,Regiao 41,6,S9,53,-19.94511,-44.02653
2190214,Regiao 42,8,S9,324,-19.96957,-44.02728
2190680,Regiao 43,8,S9,182,-19.96843,-44.04242
4275454,Regiao 44,7,S9,156,-19.95846,-44.04709
7301189,Regiao 45,8,S9,53,-19.96103,-44.03387
2190044,Regiao 46,4,S9,206,-19.95335,-44.06228
2189909,Regiao 47,6,S9,106,-19.95725,-44.05509
2189844,Regiao 48,6,S9,126,-19.95760,-44.05139
2190141,Regiao 49,9,S9,71,-19.97610,-44.06420
2220245,Regiao 50,4,S9,184,-19.94539,-44.05793
2190052,Regiao 51,6,S9,148,-19.94487,-44.03069
2190001,Regiao 52,5,S9,101,-19.92800,-44.03948
2191199,Regiao 1,3,S10,36,-19.94370,-44.06693
6557864,Regiao 2,3,S10,122,-19.92942,-44.05811
2190095,Regiao 3,4,S10,89,-19.92886,-44.04764
2190087,Regiao 4,4,S10,107,-19.93684,-44.04962
2191040,Regiao 5,3,S10,5,-19.93673,-44.07910
2190990,Regiao 6,3,S10,82,-19.92591,-44.06100
2191229,Regiao 7,5,S10,47,-19.91923,-44.04299
2191059,Regiao 8,4,S10,120,-19.92546,-44.06202
2190591,Regiao 9,8,S10,125,-19.90689,-44.03838
2190184,Regiao 10,8,S10,256,-19.90475,-44.02718
2190567,Regiao 11,7,S10,5,-19.89987,-44.03285
2190494,Regiao 12,10,S10,84,-19.88058,-44.01915
2190532,Regiao 13,9,S10,101,-19.88598,-44.01992
2190931,Regiao 14,9,S10,189,-19.87224,-44.02072
2190605,Regiao 15,7,S10,112,-19.88730,-44.04377
2190109,Regiao 16,6,S10,17,-19.88388,-44.05061
7116306,Regiao 17,12,S10,53,-19.85505,-44.01586
2190923,Regiao 18,11,S10,114,-19.86472,-44.04195
2190893,Regiao 19,14,S10,208,-19.84347,-44.03189
2190222,Regiao 20,12,S10,82,-19.85457,-44.02804
2189968,Regiao 21,3,S10,105,-19.91828,-44.09081
4696077,Regiao 22,3,S10,159,-19.91302,-44.08864
7110316,Regiao 23,4,S10,188,-19.90848,-44.09112
2189984,Regiao 24,3,S10,222,-19.92635,-44.08060
