Codigo,Unidade,Distancia,Servico,Atendimento,latitude,longitude
2190052,Regiao 51,6,S2,352,-19.94487,-44.03069
2190001,Regiao 52,5,S2,241,-19.92800,-44.03948
2191199,Regiao 1,3,S3,18,-19.94370,-44.06693
6557864,Regiao 2,3,S3,60,-19.92942,-44.05811
2190095,Regiao 3,4,S3,43,-19.92886,-44.04764
2190087,Regiao 4,4,S3,52,-19.93684,-44.04962
2191040,Regiao 5,3,S3,3,-19.93673,-44.07910
2190990,Regiao 6,3,S3,40,-19.92591,-44.06100
2191229,Regiao 7,5,S3,23,-19.91923,-44.04299
2191059,Regiao 8,4,S3,59,-19.92546,-44.06202
2190591,Regiao 9,8,S3,61,-19.90689,-44.03838
2190184,Regiao 10,8,S3,126,-19.90475,-44.02718
2190567,Regiao 11,7,S3,2,-19.89987,-44.03285
2190494,Regiao 12,10,S3,41,-19.88058,-44.01915
2190532,Regiao 13,9,S3,49,-19.88598,-44.01992
2190931,Regiao 14,9,S3,93,-19.87224,-44.02072
2190605,Regiao 15,7,S3,55,-19.88730,-44.04377
2190109,Regiao 16,6,S3,8,-19.88388,-44.05061
7116306,Regiao 17,12,S3,26,-19.85505,-44.01586
2190923,Regiao 18,11,S3,56,-19.86472,-44.04195
2190893,Regiao 19,14,S3,102,-19.84347,-44.03189
2190222,Regiao 20,12,S3,40,-19.85457,-44.02804
2189968,Regiao 21,3,S3,51,-19.91828,-44.09081
4696077,Regiao 22,3,S3,78,-19.91302,-44.08864
7110316,Regiao 23,4,S3,92,-19.90848,-44.09112
2189984,Regiao 24,3,S3,109,-19.92635,-44.08060
2190176,Regiao 25,6,S3,0,-19.89446,-44.06772
2190389,Regiao 26,5,S3,2,-19.92797,-44.10414
2190451,Regiao 27,6,S3,28,-19.92890,-44.10979
2190206,Regiao 28,7,S3,21,-19.92824,-44.11701
2190524,Regiao 29,8,S3,39,-19.93008,-44.12490
2190435,Regiao 30,8,S3,34,-19.91695,-44.12164
2190877,Regiao 31,7,S3,29,-19.92367,-44.12114
181854,Regiao 32,8,S3,15,-19.91591,-44.11787
2190834,Regiao 33,12,S3,114,-19.86003,-44.13395
2190710,Regiao 34,16,S3,71,-19.82687,-44.14813
2190826,Regiao 35,13,S3,44,-19.87581,-44.14067
2190656,Regiao 36,15,S3,10,-19.83402,-44.09048
2190540,Regiao 37,24,S3,2,-19.80543,-44.13212
2189992,Regiao 38,7,S3,54,-19.95852,-44.02485
2191202,Regiao 39,8,S3,13,-19.96171,-44.02844
2190060,Regiao 40,9,S3,1,-19.95052,-44.01402
2190788,Regiao 41,6,S3,18,-19.94511,-44.02653
2190214,Regiao 42,8,S3,111,-19.96957,-44.02728
2190680,Regiao 43,8,S3,63,-19.96843,-44.04242
4275454,Regiao 44,7,S3,54,-19.95846,-44.04709
7301189,Regiao 45,8,S3,18,-19.96103,-44.03387
2190044,Regiao 46,4,S3,71,-19.95335,-44.06228
2189909,Regiao 47,6,S3,36,-19.95725,-44.05509
2189844,Regiao 48,6,S3,43,-19.95760,-44.05139
2190141,Regiao 49,9,S3,24,-19.97610,-44.06420
2220245,Regiao 50,4,S3,63,-19.94539,-44.05793
2190052,Regiao 51,6,S3,51,-19.94487,-44.03069
2190001,Regiao 52,5,S3,35,-19.92800,-44.03948
2191199,Regiao 1,3,S4,23,-19.94370,-44.06693
6557864,Regiao 2,3,S4,77,-19.92942,-44.05811
2190095,Regiao 3,4,S4,56,-19.92886,-44.04764
2190087,Regiao 4,4,S4,67,-19.93684,-44.04962
2191040,Regiao 5,3,S4,3,-19.93673,-44.07910
2190990,Regiao 6,3,S4,52,-19.92591,-44.06100
2191229,Regiao 7,5,S4,30,-19.91923,-44.04299
2191059,Regiao 8,4,S4,76,-19.92546,-44.06202
2190591,Regiao 9,8,S4,79,-19.90689,-44.03838
2190184,Regiao 10,8,S4,162,-19.90475,-44.02718
2190567,Regiao 11,7,S4,3,-19.89987,-44.03285
2190494,Regiao 12,10,S4,53,-19.88058,-44.01915
2190532,Regiao 13,9,S4,64,-19.88598,-44.01992
2190931,Regiao 14,9,S4,120,-19.87224,-44.02072
2190605,Regiao 15,7,S4,71,-19.88730,-44.04377
2190109,Regiao 16,6,S4,11,-19.88388,-44.05061
